Word,Word Lemma,Word Stem,Negative,Positive,Warmth Direction,Ability Direction
ABBREVIATE,ABBREVIATE,ABBREVI,0,0,0.0,0.0
ABBREVIATED,ABBREVIATE,ABBREVI,0,0,0.0,0.0
ABBREVIATES,ABBREVIATES,ABBREVI,0,0,0.0,0.0
ABBREVIATING,ABBREVIATE,ABBREVI,0,0,0.0,0.0
ABBREVIATION,ABBREVIATION,ABBREVI,0,0,0.0,0.0
ABBREVIATIONS,ABBREVIATION,ABBREVI,0,0,0.0,0.0
ABDICATE,ABDICATE,ABDIC,0,0,0.0,0.0
ABDICATED,ABDICATE,ABDIC,1,0,0.0,0.0
ABDICATES,ABDICATES,ABDIC,1,0,0.0,0.0
ABDICATING,ABDICATE,ABDIC,1,0,0.0,0.0
ABDICATION,ABDICATION,ABDIC,1,0,0.0,0.0
ABDICATIONS,ABDICATION,ABDIC,1,0,0.0,0.0
ABDOMEN,ABDOMEN,ABDOMEN,0,0,0.0,0.0
ABDOMENS,ABDOMEN,ABDOMEN,0,0,0.0,0.0
ABDOMINAL,ABDOMINAL,ABDOMIN,0,0,0.0,0.0
ABDOMINALS,ABDOMINAL,ABDOMIN,0,0,0.0,0.0
ABDUCT,ABDUCT,ABDUCT,0,0,0.0,0.0
ABDUCTED,ABDUCT,ABDUCT,0,0,0.0,0.0
ABDUCTING,ABDUCT,ABDUCT,0,0,0.0,0.0
ABDUCTION,ABDUCTION,ABDUCT,0,0,0.0,0.0
ABDUCTIONS,ABDUCTION,ABDUCT,0,0,0.0,0.0
ABDUCTOR,ABDUCTOR,ABDUCTOR,0,0,0.0,0.0
ABDUCTORS,ABDUCTOR,ABDUCTOR,0,0,0.0,0.0
ABDUCTS,ABDUCTS,ABDUCT,0,0,0.0,0.0
ABEAM,ABEAM,ABEAM,0,0,0.0,0.0
ABED,ABED,ABE,0,0,0.0,0.0
ABERRANT,ABERRANT,ABERR,1,0,0.0,0.0
ABERRATION,ABERRATION,ABERR,1,0,0.0,0.0
ABERRATIONAL,ABERRATIONAL,ABERR,1,0,0.0,0.0
ABERRATIONS,ABERRATION,ABERR,1,0,0.0,0.0
ABET,ABET,ABET,0,0,0.0,0.0
ABETS,ABETS,ABET,0,0,0.0,0.0
ABETTED,ABET,ABET,0,0,0.0,0.0
ABETTER,ABETTER,ABETT,0,0,0.0,0.0
ABETTERS,ABETTER,ABETT,0,0,0.0,0.0
ABETTING,ABET,ABET,1,0,0.0,0.0
ABETTOR,ABETTOR,ABETTOR,0,0,0.0,0.0
ABETTORS,ABETTOR,ABETTOR,0,0,0.0,0.0
ABEYANCE,ABEYANCE,ABEY,0,0,0.0,0.0
ABEYANCES,ABEYANCE,ABEY,0,0,0.0,0.0
ABHOR,ABHOR,ABHOR,0,0,0.0,0.0
ABHORRED,ABHOR,ABHOR,0,0,0.0,0.0
ABHORRENCE,ABHORRENCE,ABHORR,0,0,-1.0,0.0
ABHORRENCES,ABHORRENCE,ABHORR,0,0,0.0,0.0
ABHORRENT,ABHORRENT,ABHORR,0,0,0.0,0.0
ABHORRENTLY,ABHORRENTLY,ABHORR,0,0,0.0,0.0
ABHORRING,ABHOR,ABHOR,0,0,0.0,0.0
ABHORS,ABHORS,ABHOR,0,0,0.0,0.0
ABIDANCE,ABIDANCE,ABID,0,0,0.0,0.0
ABIDANCES,ABIDANCE,ABID,0,0,0.0,0.0
ABIDE,ABIDE,ABID,0,0,0.0,0.0
ABIDED,ABIDE,ABID,0,0,0.0,0.0
ABIDES,ABIDES,ABID,0,0,0.0,0.0
ABIDING,ABIDE,ABID,0,0,0.0,0.0
ABIDINGLY,ABIDINGLY,ABIDINGLI,0,0,0.0,0.0
ABILITIES,ABILITY,ABIL,0,0,0.0,0.0
ABILITY,ABILITY,ABIL,0,0,0.0,1.0
ABJECT,ABJECT,ABJECT,0,0,0.0,0.0
ABJECTION,ABJECTION,ABJECT,0,0,0.0,0.0
ABJECTIONS,ABJECTION,ABJECT,0,0,0.0,0.0
ABJECTLY,ABJECTLY,ABJECTLI,0,0,0.0,0.0
ABJECTNESS,ABJECTNESS,ABJECT,0,0,0.0,0.0
ABJECTNESSES,ABJECTNESSES,ABJECT,0,0,0.0,0.0
ABJURATION,ABJURATION,ABJUR,0,0,0.0,0.0
ABJURATIONS,ABJURATION,ABJUR,0,0,0.0,0.0
ABJURATORY,ABJURATORY,ABJURATORI,0,0,0.0,0.0
ABJURE,ABJURE,ABJUR,0,0,0.0,0.0
ABJURED,ABJURE,ABJUR,0,0,0.0,0.0
ABJURER,ABJURER,ABJUR,0,0,0.0,0.0
ABJURERS,ABJURER,ABJUR,0,0,0.0,0.0
ABJURES,ABJURES,ABJUR,0,0,0.0,0.0
ABJURING,ABJURE,ABJUR,0,0,0.0,0.0
ABLATE,ABLATE,ABLAT,0,0,0.0,0.0
ABLATED,ABLATE,ABLAT,0,0,0.0,0.0
ABLATES,ABLATES,ABLAT,0,0,0.0,0.0
ABLATING,ABLATE,ABLAT,0,0,0.0,0.0
ABLATION,ABLATION,ABLAT,0,0,0.0,0.0
ABLATIONS,ABLATION,ABLAT,0,0,0.0,0.0
ABLATIVE,ABLATIVE,ABL,0,0,0.0,0.0
ABLATIVES,ABLATIVE,ABL,0,0,0.0,0.0
ABLAZE,ABLAZE,ABLAZ,0,0,0.0,0.0
ABLE,ABLE,ABL,0,1,0.0,1.0
ABLER,ABLER,ABLER,0,0,0.0,0.0
ABLEST,ABLEST,ABLEST,0,0,0.0,0.0
ABLOOM,ABLOOM,ABLOOM,0,0,0.0,0.0
ABLUTION,ABLUTION,ABLUT,0,0,0.0,0.0
ABLUTIONS,ABLUTION,ABLUT,0,0,0.0,0.0
ABLY,ABLY,ABLI,0,0,0.0,0.0
ABNEGATE,ABNEGATE,ABNEG,0,0,0.0,0.0
ABNEGATED,ABNEGATE,ABNEG,0,0,0.0,0.0
ABNEGATES,ABNEGATES,ABNEG,0,0,0.0,0.0
ABNEGATING,ABNEGATE,ABNEG,0,0,0.0,0.0
ABNEGATION,ABNEGATION,ABNEG,0,0,0.0,0.0
ABNEGATIONS,ABNEGATION,ABNEG,0,0,0.0,0.0
ABNORMAL,ABNORMAL,ABNORM,1,0,0.0,0.0
ABNORMALITIES,ABNORMALITY,ABNORM,1,0,0.0,0.0
ABNORMALITY,ABNORMALITY,ABNORM,1,0,0.0,0.0
ABNORMALLY,ABNORMALLY,ABNORM,1,0,0.0,0.0
ABOARD,ABOARD,ABOARD,0,0,0.0,0.0
ABODE,ABODE,ABOD,0,0,0.0,0.0
ABODES,ABODE,ABOD,0,0,0.0,0.0
ABOLISH,ABOLISH,ABOLISH,1,0,0.0,0.0
ABOLISHED,ABOLISH,ABOLISH,1,0,0.0,0.0
ABOLISHES,ABOLISHES,ABOLISH,1,0,0.0,0.0
ABOLISHING,ABOLISH,ABOLISH,1,0,0.0,0.0
ABOLISHMENT,ABOLISHMENT,ABOLISH,0,0,0.0,0.0
ABOLITION,ABOLITION,ABOLIT,0,0,0.0,0.0
ABOLITIONISM,ABOLITIONISM,ABOLITION,0,0,0.0,0.0
ABOLITIONISMS,ABOLITIONISM,ABOLITION,0,0,0.0,0.0
ABOLITIONIST,ABOLITIONIST,ABOLITIONIST,0,0,0.0,0.0
ABOLITIONISTS,ABOLITIONIST,ABOLITIONIST,0,0,0.0,0.0
ABOLITIONS,ABOLITION,ABOLIT,0,0,0.0,0.0
ABOMINABLE,ABOMINABLE,ABOMIN,0,0,0.0,0.0
ABOMINABLY,ABOMINABLY,ABOMIN,0,0,0.0,0.0
ABOMINATE,ABOMINATE,ABOMIN,0,0,0.0,0.0
ABOMINATED,ABOMINATE,ABOMIN,0,0,0.0,0.0
ABOMINATES,ABOMINATES,ABOMIN,0,0,0.0,0.0
ABOMINATING,ABOMINATE,ABOMIN,0,0,0.0,0.0
ABOMINATION,ABOMINATION,ABOMIN,0,0,0.0,0.0
ABOMINATIONS,ABOMINATION,ABOMIN,0,0,0.0,0.0
ABORIGINAL,ABORIGINAL,ABORIGIN,0,0,0.0,0.0
ABORIGINALS,ABORIGINAL,ABORIGIN,0,0,0.0,0.0
ABORIGINE,ABORIGINE,ABORIGIN,0,0,0.0,0.0
ABORIGINES,ABORIGINE,ABORIGIN,0,0,0.0,0.0
ABORNING,ABORNING,ABORN,0,0,0.0,0.0
ABORT,ABORT,ABORT,0,0,0.0,0.0
ABORTED,ABORTED,ABORT,0,0,0.0,0.0
ABORTING,ABORT,ABORT,0,0,0.0,0.0
ABORTION,ABORTION,ABORT,0,0,0.0,0.0
ABORTIONIST,ABORTIONIST,ABORTIONIST,0,0,0.0,0.0
ABORTIONISTS,ABORTIONIST,ABORTIONIST,0,0,0.0,0.0
ABORTIONS,ABORTION,ABORT,0,0,0.0,0.0
ABORTIVE,ABORTIVE,ABORT,0,0,0.0,0.0
ABORTIVELY,ABORTIVELY,ABORT,0,0,0.0,0.0
ABORTS,ABORT,ABORT,0,0,0.0,0.0
ABOUND,ABOUND,ABOUND,0,0,0.0,0.0
ABOUNDED,ABOUND,ABOUND,0,0,0.0,0.0
ABOUNDING,ABOUND,ABOUND,0,0,0.0,0.0
ABOUNDS,ABOUNDS,ABOUND,0,0,0.0,0.0
ABOUT,ABOUT,ABOUT,0,0,0.0,0.0
ABOUTS,ABOUTS,ABOUT,0,0,0.0,0.0
ABOVE,ABOVE,ABOV,0,0,0.0,0.0
ABOVEBOARD,ABOVEBOARD,ABOVEBOARD,0,0,0.0,0.0
ABOVEGROUND,ABOVEGROUND,ABOVEGROUND,0,0,0.0,0.0
ABOVEMENTIONED,ABOVEMENTIONED,ABOVEMENT,0,0,0.0,0.0
ABOVES,ABOVE,ABOV,0,0,0.0,0.0
ABRACADABRA,ABRACADABRA,ABRACADABRA,0,0,0.0,0.0
ABRACADABRAS,ABRACADABRA,ABRACADABRA,0,0,0.0,0.0
ABRADE,ABRADE,ABRAD,0,0,0.0,0.0
ABRADED,ABRADE,ABRAD,0,0,0.0,0.0
ABRADES,ABRADES,ABRAD,0,0,0.0,0.0
ABRADING,ABRADE,ABRAD,0,0,0.0,0.0
ABRASION,ABRASION,ABRAS,0,0,0.0,0.0
ABRASIONS,ABRASION,ABRAS,0,0,0.0,0.0
ABRASIVE,ABRASIVE,ABRAS,0,0,-1.0,0.0
ABRASIVELY,ABRASIVELY,ABRAS,0,0,0.0,0.0
ABRASIVENESS,ABRASIVENESS,ABRAS,0,0,-1.0,0.0
ABRASIVENESSES,ABRASIVENESS,ABRAS,0,0,0.0,0.0
ABRASIVES,ABRASIVE,ABRAS,0,0,0.0,0.0
ABREAST,ABREAST,ABREAST,0,0,0.0,0.0
ABRIDGE,ABRIDGE,ABRIDG,0,0,0.0,0.0
ABRIDGED,ABRIDGE,ABRIDG,0,0,0.0,0.0
ABRIDGEMENT,ABRIDGEMENT,ABRIDG,0,0,0.0,0.0
ABRIDGEMENTS,ABRIDGEMENT,ABRIDG,0,0,0.0,0.0
ABRIDGES,ABRIDGES,ABRIDG,0,0,0.0,0.0
ABRIDGING,ABRIDGE,ABRIDG,0,0,0.0,0.0
ABRIDGMENT,ABRIDGMENT,ABRIDG,0,0,0.0,0.0
ABRIDGMENTS,ABRIDGMENT,ABRIDG,0,0,0.0,0.0
ABROAD,ABROAD,ABROAD,0,0,0.0,0.0
ABROGATE,ABROGATE,ABROG,1,0,0.0,0.0
ABROGATED,ABROGATE,ABROG,1,0,0.0,0.0
ABROGATES,ABROGATES,ABROG,1,0,0.0,0.0
ABROGATING,ABROGATE,ABROG,1,0,0.0,0.0
ABROGATION,ABROGATION,ABROG,1,0,0.0,0.0
ABROGATIONS,ABROGATION,ABROG,1,0,0.0,0.0
ABROGATOR,ABROGATOR,ABROG,0,0,0.0,0.0
ABROGATORS,ABROGATOR,ABROG,0,0,0.0,0.0
ABRUPT,ABRUPT,ABRUPT,1,0,0.0,0.0
ABRUPTER,ABRUPTER,ABRUPT,0,0,0.0,0.0
ABRUPTEST,ABRUPTEST,ABRUPTEST,0,0,0.0,0.0
ABRUPTLY,ABRUPTLY,ABRUPTLI,1,0,0.0,0.0
ABRUPTNESS,ABRUPTNESS,ABRUPT,1,0,-1.0,0.0
ABRUPTNESSES,ABRUPTNESS,ABRUPT,0,0,0.0,0.0
ABS,AB,AB,0,0,0.0,0.0
ABSCESS,ABSCESS,ABSCESS,0,0,0.0,0.0
ABSCESSED,ABSCESSED,ABSCESS,0,0,0.0,0.0
ABSCESSES,ABSCESS,ABSCESS,0,0,0.0,0.0
ABSCESSING,ABSCESSING,ABSCESS,0,0,0.0,0.0
ABSCISSA,ABSCISSA,ABSCISSA,0,0,0.0,0.0
ABSCISSAE,ABSCISSA,ABSCISSA,0,0,0.0,0.0
ABSCISSAS,ABSCISSA,ABSCISSA,0,0,0.0,0.0
ABSCISSION,ABSCISSION,ABSCISS,0,0,0.0,0.0
ABSCISSIONS,ABSCISSION,ABSCISS,0,0,0.0,0.0
ABSCOND,ABSCOND,ABSCOND,0,0,0.0,0.0
ABSCONDED,ABSCOND,ABSCOND,0,0,0.0,0.0
ABSCONDER,ABSCONDER,ABSCOND,0,0,0.0,0.0
ABSCONDERS,ABSCONDER,ABSCOND,0,0,0.0,0.0
ABSCONDING,ABSCOND,ABSCOND,0,0,0.0,0.0
ABSCONDS,ABSCONDS,ABSCOND,0,0,0.0,0.0
ABSEIL,ABSEIL,ABSEIL,0,0,0.0,0.0
ABSEILED,ABSEIL,ABSEIL,0,0,0.0,0.0
ABSEILING,ABSEIL,ABSEIL,0,0,0.0,0.0
ABSEILS,ABSEIL,ABSEIL,0,0,0.0,0.0
ABSENCE,ABSENCE,ABSENC,1,0,0.0,0.0
ABSENCES,ABSENCE,ABSENC,1,0,0.0,0.0
ABSENT,ABSENT,ABSENT,0,0,0.0,0.0
ABSENTED,ABSENT,ABSENT,0,0,0.0,0.0
ABSENTEE,ABSENTEE,ABSENTE,0,0,0.0,0.0
ABSENTEEISM,ABSENTEEISM,ABSENTE,1,0,0.0,0.0
ABSENTEEISMS,ABSENTEEISM,ABSENTE,0,0,0.0,0.0
ABSENTEES,ABSENTEE,ABSENTE,0,0,0.0,0.0
ABSENTING,ABSENT,ABSENT,0,0,0.0,0.0
ABSENTLY,ABSENTLY,ABSENT,0,0,0.0,0.0
ABSENTMINDED,ABSENTMINDED,ABSENTMIND,0,0,0.0,-1.0
ABSENTMINDEDLY,ABSENTMINDEDLY,ABSENTMINDEDLI,0,0,0.0,0.0
ABSENTMINDEDNESS,ABSENTMINDEDNESS,ABSENTMINDED,0,0,0.0,0.0
ABSENTMINDEDNESSES,ABSENTMINDEDNESS,ABSENTMINDED,0,0,0.0,0.0
ABSENTS,ABSENTS,ABSENT,0,0,0.0,0.0
ABSINTH,ABSINTH,ABSINTH,0,0,0.0,0.0
ABSINTHE,ABSINTHE,ABSINTH,0,0,0.0,0.0
ABSINTHES,ABSINTHE,ABSINTH,0,0,0.0,0.0
ABSINTHS,ABSINTH,ABSINTH,0,0,0.0,0.0
ABSOLUTE,ABSOLUTE,ABSOLUT,0,0,0.0,0.0
ABSOLUTELY,ABSOLUTELY,ABSOLUT,0,0,0.0,0.0
ABSOLUTENESS,ABSOLUTENESS,ABSOLUT,0,0,0.0,0.0
ABSOLUTENESSES,ABSOLUTENESS,ABSOLUT,0,0,0.0,0.0
ABSOLUTES,ABSOLUTE,ABSOLUT,0,0,0.0,0.0
ABSOLUTEST,ABSOLUTEST,ABSOLUTEST,0,0,0.0,0.0
ABSOLUTION,ABSOLUTION,ABSOLUT,0,0,0.0,0.0
ABSOLUTIONS,ABSOLUTION,ABSOLUT,0,0,0.0,0.0
ABSOLUTISM,ABSOLUTISM,ABSOLUT,0,0,0.0,0.0
ABSOLUTISMS,ABSOLUTISM,ABSOLUT,0,0,0.0,0.0
ABSOLUTIST,ABSOLUTIST,ABSOLUTIST,0,0,0.0,0.0
ABSOLUTISTS,ABSOLUTIST,ABSOLUTIST,0,0,0.0,0.0
ABSOLVE,ABSOLVE,ABSOLV,0,0,0.0,0.0
ABSOLVED,ABSOLVE,ABSOLV,0,0,0.0,0.0
ABSOLVES,ABSOLVES,ABSOLV,0,0,0.0,0.0
ABSOLVING,ABSOLVE,ABSOLV,0,0,0.0,0.0
ABSORB,ABSORB,ABSORB,0,0,0.0,1.0
ABSORBABLE,ABSORBABLE,ABSORB,0,0,0.0,0.0
ABSORBED,ABSORBED,ABSORB,0,0,0.0,0.0
ABSORBENCIES,ABSORBENCY,ABSORB,0,0,0.0,0.0
ABSORBENCY,ABSORBENCY,ABSORB,0,0,0.0,0.0
ABSORBENT,ABSORBENT,ABSORB,0,0,0.0,0.0
ABSORBENTS,ABSORBENT,ABSORB,0,0,0.0,0.0
ABSORBER,ABSORBER,ABSORB,0,0,0.0,0.0
ABSORBERS,ABSORBER,ABSORB,0,0,0.0,0.0
ABSORBING,ABSORB,ABSORB,0,0,0.0,0.0
ABSORBINGLY,ABSORBINGLY,ABSORBINGLI,0,0,0.0,0.0
ABSORBS,ABSORBS,ABSORB,0,0,0.0,0.0
ABSORPTION,ABSORPTION,ABSORPT,0,0,0.0,1.0
ABSORPTIONS,ABSORPTION,ABSORPT,0,0,0.0,0.0
ABSORPTIVE,ABSORPTIVE,ABSORPT,0,0,0.0,0.0
ABSTAIN,ABSTAIN,ABSTAIN,0,0,0.0,0.0
ABSTAINED,ABSTAIN,ABSTAIN,0,0,0.0,0.0
ABSTAINER,ABSTAINER,ABSTAIN,0,0,0.0,0.0
ABSTAINERS,ABSTAINER,ABSTAIN,0,0,0.0,0.0
ABSTAINING,ABSTAIN,ABSTAIN,0,0,0.0,0.0
ABSTAINS,ABSTAINS,ABSTAIN,0,0,0.0,0.0
ABSTEMIOUS,ABSTEMIOUS,ABSTEMI,0,0,0.0,0.0
ABSTEMIOUSLY,ABSTEMIOUSLY,ABSTEMI,0,0,0.0,0.0
ABSTEMIOUSNESS,ABSTEMIOUSNESS,ABSTEMI,0,0,0.0,0.0
ABSTEMIOUSNESSES,ABSTEMIOUSNESS,ABSTEMI,0,0,0.0,0.0
ABSTENTION,ABSTENTION,ABSTENT,0,0,0.0,0.0
ABSTENTIONS,ABSTENTION,ABSTENT,0,0,0.0,0.0
ABSTINENCE,ABSTINENCE,ABSTIN,0,0,0.0,0.0
ABSTINENCES,ABSTINENCE,ABSTIN,0,0,0.0,0.0
ABSTINENT,ABSTINENT,ABSTIN,0,0,0.0,0.0
ABSTRACT,ABSTRACT,ABSTRACT,0,0,0.0,1.0
ABSTRACTED,ABSTRACT,ABSTRACT,0,0,0.0,0.0
ABSTRACTEDLY,ABSTRACTEDLY,ABSTRACTEDLI,0,0,0.0,0.0
ABSTRACTEDNESS,ABSTRACTEDNESS,ABSTRACTED,0,0,0.0,0.0
ABSTRACTEDNESSES,ABSTRACTEDNESS,ABSTRACTED,0,0,0.0,0.0
ABSTRACTING,ABSTRACT,ABSTRACT,0,0,0.0,0.0
ABSTRACTION,ABSTRACTION,ABSTRACT,0,0,0.0,0.0
ABSTRACTIONS,ABSTRACTION,ABSTRACT,0,0,0.0,0.0
ABSTRACTLY,ABSTRACTLY,ABSTRACTLI,0,0,0.0,0.0
ABSTRACTNESS,ABSTRACTNESS,ABSTRACT,0,0,0.0,0.0
ABSTRACTNESSES,ABSTRACTNESS,ABSTRACT,0,0,0.0,0.0
ABSTRACTS,ABSTRACT,ABSTRACT,0,0,0.0,0.0
ABSTRUSE,ABSTRUSE,ABSTRUS,0,0,0.0,0.0
ABSTRUSELY,ABSTRUSELY,ABSTRUS,0,0,0.0,0.0
ABSTRUSENESS,ABSTRUSENESS,ABSTRUS,0,0,0.0,0.0
ABSTRUSENESSES,ABSTRUSENESS,ABSTRUS,0,0,0.0,0.0
ABSURD,ABSURD,ABSURD,0,0,0.0,-1.0
ABSURDER,ABSURDER,ABSURD,0,0,0.0,0.0
ABSURDEST,ABSURDEST,ABSURDEST,0,0,0.0,0.0
ABSURDITIES,ABSURDITY,ABSURD,0,0,0.0,0.0
ABSURDITY,ABSURDITY,ABSURD,0,0,0.0,-1.0
ABSURDLY,ABSURDLY,ABSURDLI,0,0,0.0,0.0
ABSURDNESS,ABSURDNESS,ABSURD,0,0,0.0,0.0
ABSURDNESSES,ABSURDNESS,ABSURD,0,0,0.0,0.0
ABUNDANCE,ABUNDANCE,ABUND,0,1,0.0,0.0
ABUNDANCES,ABUNDANCE,ABUND,0,0,0.0,0.0
ABUNDANT,ABUNDANT,ABUND,0,1,0.0,0.0
ABUNDANTLY,ABUNDANTLY,ABUNDANTLI,0,0,0.0,0.0
ABUSE,ABUSE,ABUS,1,0,0.0,0.0
ABUSED,ABUSE,ABUS,1,0,0.0,0.0
ABUSER,ABUSER,ABUS,0,0,0.0,0.0
ABUSERS,ABUSER,ABUS,0,0,0.0,0.0
ABUSES,ABUSE,ABUS,1,0,0.0,0.0
ABUSING,ABUSE,ABUS,1,0,0.0,0.0
ABUSIVE,ABUSIVE,ABUS,1,0,0.0,0.0
ABUSIVELY,ABUSIVELY,ABUS,1,0,0.0,0.0
ABUSIVENESS,ABUSIVENESS,ABUS,1,0,0.0,0.0
ABUSIVENESSES,ABUSIVENESSES,ABUS,0,0,0.0,0.0
ABUT,ABUT,ABUT,0,0,0.0,0.0
ABUTMENT,ABUTMENT,ABUT,0,0,0.0,0.0
ABUTMENTS,ABUTMENT,ABUT,0,0,0.0,0.0
ABUTS,ABUTS,ABUT,0,0,0.0,0.0
ABUTTED,ABUT,ABUT,0,0,0.0,0.0
ABUTTING,ABUT,ABUT,0,0,0.0,0.0
ABUZZ,ABUZZ,ABUZZ,0,0,0.0,0.0
ABYSMAL,ABYSMAL,ABYSM,0,0,0.0,0.0
ABYSMALLY,ABYSMALLY,ABYSM,0,0,0.0,0.0
ABYSS,ABYSS,ABYSS,0,0,0.0,0.0
ABYSSAL,ABYSSAL,ABYSS,0,0,0.0,0.0
ABYSSES,ABYSS,ABYSS,0,0,0.0,0.0
ACACIA,ACACIA,ACACIA,0,0,0.0,0.0
ACACIAS,ACACIA,ACACIA,0,0,0.0,0.0
ACADEME,ACADEME,ACADEM,0,0,0.0,0.0
ACADEMES,ACADEME,ACADEM,0,0,0.0,0.0
ACADEMIA,ACADEMIA,ACADEMIA,0,0,0.0,0.0
ACADEMIAS,ACADEMIA,ACADEMIA,0,0,0.0,0.0
ACADEMIC,ACADEMIC,ACADEM,0,0,0.0,0.0
ACADEMICALLY,ACADEMICALLY,ACADEM,0,0,0.0,0.0
ACADEMICIAN,ACADEMICIAN,ACADEMICIAN,0,0,0.0,0.0
ACADEMICIANS,ACADEMICIAN,ACADEMICIAN,0,0,0.0,0.0
ACADEMICS,ACADEMIC,ACADEM,0,0,0.0,0.0
ACADEMIES,ACADEMY,ACADEMI,0,0,0.0,0.0
ACADEMY,ACADEMY,ACADEMI,0,0,0.0,0.0
ACANTHI,ACANTHUS,ACANTHU,0,0,0.0,0.0
ACANTHUS,ACANTHUS,ACANTHU,0,0,0.0,0.0
ACANTHUSES,ACANTHUS,ACANTHU,0,0,0.0,0.0
ACCEDE,ACCEDE,ACCED,0,0,0.0,0.0
ACCEDED,ACCEDE,ACCED,0,0,0.0,0.0
ACCEDES,ACCEDES,ACCED,0,0,0.0,0.0
ACCEDING,ACCEDE,ACCED,0,0,0.0,0.0
ACCELERANT,ACCELERANT,ACCELER,0,0,0.0,0.0
ACCELERATE,ACCELERATE,ACCELER,0,0,0.0,0.0
ACCELERATED,ACCELERATE,ACCELER,0,0,0.0,0.0
ACCELERATES,ACCELERATES,ACCELER,0,0,0.0,0.0
ACCELERATING,ACCELERATE,ACCELER,0,0,0.0,0.0
ACCELERATION,ACCELERATION,ACCELER,0,0,0.0,0.0
ACCELERATIONS,ACCELERATION,ACCELER,0,0,0.0,0.0
ACCELERATOR,ACCELERATOR,ACCELER,0,0,0.0,0.0
ACCELERATORS,ACCELERATOR,ACCELER,0,0,0.0,0.0
ACCELEROMETER,ACCELEROMETER,ACCELEROMET,0,0,0.0,0.0
ACCENT,ACCENT,ACCENT,0,0,0.0,0.0
ACCENTED,ACCENT,ACCENT,0,0,0.0,0.0
ACCENTING,ACCENT,ACCENT,0,0,0.0,0.0
ACCENTS,ACCENT,ACCENT,0,0,0.0,0.0
ACCENTUAL,ACCENTUAL,ACCENTU,0,0,0.0,0.0
ACCENTUATE,ACCENTUATE,ACCENTU,0,0,0.0,0.0
ACCENTUATED,ACCENTUATE,ACCENTU,0,0,0.0,0.0
ACCENTUATES,ACCENTUATES,ACCENTU,0,0,0.0,0.0
ACCENTUATING,ACCENTUATE,ACCENTU,0,0,0.0,0.0
ACCENTUATION,ACCENTUATION,ACCENTU,0,0,0.0,0.0
ACCENTUATIONS,ACCENTUATION,ACCENTU,0,0,0.0,0.0
ACCEPT,ACCEPT,ACCEPT,0,0,0.0,0.0
ACCEPTABILITIES,ACCEPTABILITY,ACCEPT,0,0,0.0,0.0
ACCEPTABILITY,ACCEPTABILITY,ACCEPT,0,0,0.0,0.0
